name,city,statenam,state,year,sworn,civil,elecyear,governor,murder,rape,robbery,assault,burglary,larceny,auto,rincpc,econgrow,unemp,citypop,term2,term3,term4,a0_5,a5_9,a10_14,a15_19,a20_24,a25_29,citybla,cityfemh,sta_educ,sta_welf,price,termlim,jid,mayor,date_wa,date_my,web
albuquerque,1,nm,31,1973,447,137,1,0,28,169,909,1157,6942,11852,1623,9.182426452636719,.0372262001037598,.0738399624824524,262404,0,0,1,.0860326290130615,.0980393290519714,.1030125021934509,.1004429459571838,.0952150225639343,.0822612047195435,2.289999008178711,11.96999359130859,828.82861328125,173.42333984375,.4439997673034668,1,78,1,.,.,0
albuquerque,1,nm,31,1974,486,161,0,1,31,183,803,877,6547,12781,1472,9.103446960449219,-.008638858795166,.0827199816703796,278100,0,0,1,.0845983624458313,.0939623117446899,.0992559790611267,.100134551525116,.0968927145004272,.085171103477478,2.319999694824219,11.85999298095703,778.904296875,160.243408203125,.492999792098999,1,78,0,Dec-77,.,0
albuquerque,1,nm,31,1975,509,159,0,0,30,181,819,1353,7792,13720,1418,9.197021484375,.0102269649505615,.1001799702644348,286238,0,0,1,.083243191242218,.0901103019714355,.0957067012786865,.0998431444168091,.098477840423584,.0879203677177429,2.349998474121094,11.75,842.00732421875,144.9813232421875,.5379996299743652,1,78,0,Dec-77,.,0
albuquerque,1,nm,31,1976,496,184,0,0,28,186,871,1335,7790,16725,1491,9.497360229492188,.0321338176727295,.0922699570655823,292265,0,0,1,.0819607973098755,.086465060710907,.0923479795455933,.0995674133300781,.0999778509140015,.0905220508575439,2.379999160766602,11.63999938964844,871.70458984375,145.869873046875,.5689997673034668,1,78,0,Dec-77,.,0
albuquerque,1,nm,31,1977,491,214,1,0,31,207,754,1398,6568,13833,1164,9.846534729003906,.0361053943634033,.0775299668312073,292341,0,0,1,.0807454586029053,.0830104947090149,.0891649127006531,.0993061065673828,.1013994812965393,.0929877161979675,2.409999847412109,11.52999877929688,891.0888671875,151.815185546875,.6059999465942383,1,78,1,Dec-81,.,0
albuquerque,1,nm,31,1978,465,188,0,1,37,187,694,1516,6191,12910,1331,10.31901550292969,.0468690395355225,.0567499995231628,291834,0,0,1,.0795920491218567,.0797318816184998,.0861440300941467,.0990581512451172,.1027485728263855,.0953277349472046,2.439998626708984,11.41999816894531,904.90771484375,144.1717529296875,.6519999504089355,1,78,0,Dec-81,Dec-77,0
albuquerque,1,nm,31,1979,472,250,0,0,47,215,815,1602,7298,15613,1751,10.27685546875,-.0040938854217529,.0664199590682983,302120,0,0,1,.078495979309082,.0766162276268005,.0832732319831848,.0988224744796753,.1040306687355042,.0975514650344849,2.469999313354492,11.30999755859375,911.845703125,161.156982421875,.7259998321533203,1,78,0,Dec-81,Dec-81,0
albuquerque,1,nm,31,1980,499,306,0,0,50,225,993,1740,8081,16808,1429,9.913833618164063,-.0359635353088379,.0746699571609497,328837,0,0,1,.077453076839447,.0736516714096069,.0805416703224182,.0985982418060303,.1052506566047668,.0996673703193665,2.5,11.19999694824219,862.86376953125,155.3397216796875,.8239998817443848,1,78,0,Oct-81,Dec-81,0
albuquerque,1,nm,31,1981,557,241,1,0,45,213,1107,1620,9074,16984,1571,9.925186157226563,.0011448860168457,.0726699829101563,336840,0,0,1,.0776019692420959,.0739724040031433,.0791474580764771,.0950940251350403,.1020721197128296,.0988991856575012,2.549999237060547,11.28999328613281,874.58740234375,166.1165771484375,.9089999198913574,1,78,1,Oct-81,Dec-81,0
albuquerque,1,nm,31,1982,564,289,0,1,26,199,926,1508,7980,17214,1361,9.851814270019531,-.007420539855957,.0922499895095825,344962,0,0,1,.0777466297149658,.0742840170860291,.077792763710022,.0916892886161804,.0989838242530823,.0981528162956238,2.599998474121094,11.37999725341797,879.57958984375,167.28662109375,.9649996757507324,1,78,0,.,Dec-81,0
albuquerque,1,nm,31,1983,592,299,0,0,24,206,909,1815,7733,17087,1476,9.882530212402344,.0031130313873291,.1018299460411072,355163,0,0,1,.077887237071991,.0745869278907776,.0764760375022888,.0883799195289612,.0959820151329041,.0974273085594177,2.649999618530273,11.46999359130859,908.7705078125,159.697265625,.995999813079834,1,78,0,Oct-85,Dec-85,0
albuquerque,1,nm,31,1984,620,308,0,0,28,210,1215,2162,8686,17485,1622,10.11391448974609,.0231442451477051,.0748299956321716,356366,0,0,1,.0780239701271057,.0748814344406128,.0751957297325134,.0851619243621826,.0930631160736084,.096721887588501,2.69999885559082,11.55999755859375,902.39404296875,162.660400390625,1.038999557495117,1,78,0,Nov-85,.,0
albuquerque,1,nm,31,1985,644,462,1,0,42,238,1247,2578,9186,17935,1932,10.4061279296875,.0284824371337891,.0885799527168274,357051,0,0,1,.0781569480895996,.0751679539680481,.0739502310752869,.0820316076278687,.0902237296104431,.0960356593132019,2.75,11.64999389648438,926.1630859375,166.645263671875,1.07599925994873,1,78,1,Oct-85,.,0
albuquerque,1,nm,31,1986,683,371,0,1,49,247,1248,2748,9746,19490,1988,10.44660186767578,.0038821697235107,.0914199948310852,364196,0,0,1,.0782864093780518,.0754467844963074,.0727382302284241,.0789853930473328,.0874605774879456,.0953679084777832,2.799999237060547,11.73999786376953,976.0361328125,180.38134765625,1.095999717712402,1,78,0,Nov-89,.,0
albuquerque,1,nm,31,1987,710,367,0,0,48,211,987,2599,9965,20913,2285,10.47952270507813,.0031464099884033,.0879199504852295,371756,0,0,1,.0784124135971069,.0757182240486145,.0715583562850952,.0760199427604675,.0847707390785217,.094717800617218,2.849998474121094,11.82999420166016,887.93115234375,193.59130859375,1.13599967956543,1,78,0,Oct-89,.,0
albuquerque,1,nm,31,1988,729,371,0,0,49,190,928,3108,11042,20950,2705,10.51902008056641,.0037610530853271,.078249990940094,378176,0,0,1,.0785351395606995,.0759825110435486,.0704092979431152,.0731320977210999,.0821512937545776,.0940847396850586,2.899999618530273,11.91999816894531,881.13623046875,207.1285400390625,1.182999610900879,1,78,0,Oct-89,.,0
albuquerque,1,nm,31,1989,760,389,1,0,41,178,1032,3445,9672,21670,2306,10.64192962646484,.0116174221038818,.0660799741744995,384801,0,0,1,.0786546468734741,.0762400031089783,.0692899823188782,.070318877696991,.0795994997024536,.0934680104255676,2.94999885559082,12.00999450683594,916.93505859375,209.6773681640625,1.239999771118164,1,78,1,Oct-89,.,0
albuquerque,1,nm,31,1990,793,390,0,1,34,222,1030,3835,9497,22130,1973,10.88629150390625,.0227019786834717,.062749981880188,384736,0,0,1,.0787711143493652,.0764909386634827,.0681992173194885,.0675773620605469,.0771127939224243,.0928670167922974,3,12.09999847412109,943.38134765625,231.82861328125,1.306999206542969,1,78,0,Nov-93,.,0
albuquerque,1,nm,31,1991,803,372,0,0,51,261,1307,3972,10348,22024,2470,,,.0689999461174011,393148,0,0,1,.0788847208023071,.0767355561256409,.0671359300613403,.0649048686027527,.074688732624054,.0922811627388,3.049999237060547,12.18999481201172,973.431640625,270.8486328125,,1,78,0,Nov-93,.,0
albuquerque,1,nm,31,1992,787,304,0,0,42,294,1460,4372,8705,20236,2905,,,.0679999589920044,401529,0,0,1,.078995406627655,.0769740343093872,.0660990476608276,.0622988641262054,.0723248720169067,.0917099118232727,3.099998474121094,12.27999877929688,1003.4814453125,309.86865234375,,1,78,0,Oct-93,.,0
atlanta,2,ga,10,1973,1458,199,1,0,263,468,4140,2650,15901,16739,4897,10.04279327392578,.046788215637207,.0395199954509735,499000,0,0,1,.0858563780784607,.0946470499038696,.0966865420341492,.0902898907661438,.0904752612113953,.0882694125175476,56.02999877929688,21.47999572753906,599.09912109375,234.2342529296875,.4439997673034668,1,41,1,Oct-77,.,0
atlanta,2,ga,10,1974,1586,308,0,1,248,440,4357,3369,16802,19320,4114,9.809326171875,-.0235209465026855,.054529994726181,490767,0,0,1,.0836641192436218,.0922636389732361,.0948817729949951,.0902840495109558,.0908800363540649,.089783787727356,57.53997802734375,21.53999328613281,590.263671875,180.52734375,.492999792098999,1,41,0,Oct-77,.,0
atlanta,2,ga,10,1975,1415,453,0,0,185,443,3887,3518,14501,22612,3738,9.531593322753906,-.028721809387207,.0858999490737915,490584,0,0,1,.0815753936767578,.0899927020072937,.0931621789932251,.0902784466743469,.0912656784057617,.0912266969680786,59.04998779296875,21.59999084472656,617.10009765625,189.591064453125,.5379996299743652,0,41,0,Jan-78,.,0
atlanta,2,ga,10,1976,1251,335,0,0,154,477,3380,3518,12455,26075,3448,9.93145751953125,.0410947799682617,.0811399817466736,457300,0,0,1,.0795829296112061,.0878264904022217,.0915218591690063,.0902731418609619,.0916335582733154,.0926030874252319,60.55999755859375,21.65998840332031,623.9013671875,173.9893798828125,.5689997673034668,0,41,0,Jan-78,.,0
atlanta,2,ga,10,1977,1225,328,1,0,138,510,3354,3593,12295,22549,3158,10.15346527099609,.0221078395843506,.0690599679946899,440300,0,0,1,.0776802897453308,.0857579112052917,.0899555087089539,.090268075466156,.0919848680496216,.0939174294471741,62.06997680664063,21.71998596191406,608.91064453125,168.3167724609375,.6059999465942383,0,41,1,Dec-81,.,0
atlanta,2,ga,10,1978,1118,261,0,1,144,592,4119,3990,15185,25874,3966,10.57361602783203,.0405471324920654,.0566699802875519,456000,0,0,1,.0758615136146545,.0837805271148682,.0884581804275513,.0902632474899292,.0923206210136414,.0951738357543945,63.57998657226563,21.77999877929688,595.091796875,171.779052734375,.6519999504089355,0,41,0,Dec-81,.,0
atlanta,2,ga,10,1979,1116,331,0,0,231,656,5189,4639,16111,27424,4474,10.48209381103516,-.0086936950683594,.0509199798107147,423103,0,0,1,.0741211771965027,.0818884372711182,.0870254635810852,.0902585983276367,.0926419496536255,.0963760614395142,65.0899658203125,21.83999633789063,640.49560546875,163.9117431640625,.7259998321533203,1,41,0,Nov-80,.,0
atlanta,2,ga,10,1980,1223,337,0,0,201,671,4733,5470,16812,27502,4005,10.13106536865234,-.0340616703033447,.0639999508857727,422474,0,0,1,.0724543333053589,.0800762176513672,.0856531858444214,.0902541875839233,.0929497480392456,.0975275039672852,66.5999755859375,21.89999389648438,577.669921875,156.5533447265625,.8239998817443848,1,41,0,Nov-81,.,0
atlanta,2,ga,10,1981,1294,352,1,0,182,644,4507,5246,17458,28966,3566,10.23577880859375,.0102832317352295,.0639999508857727,435626,0,0,1,.073296844959259,.0791078209877014,.0833524465560913,.0878063440322876,.0913015007972717,.0980172157287598,66.64996337890625,22.04998779296875,584.158203125,180.41796875,.9089999198913574,1,41,1,Nov-81,.,0
atlanta,2,ga,10,1982,1340,283,0,1,152,613,3999,5722,15134,27818,3526,10.22098541259766,-.0014464855194092,.0781700015068054,441103,0,0,1,.074087917804718,.0781986117362976,.0811921358108521,.0855079293251038,.0897538661956787,.0984770059585571,66.699951171875,22.19999694824219,566.97021484375,170.2376708984375,.9649996757507324,1,41,0,Nov-85,.,0
atlanta,2,ga,10,1983,1315,288,0,0,141,619,3552,5014,12501,23566,3020,10.71198272705078,.0469198226928711,.0749199986457825,448635,0,0,1,.0748322010040283,.077343225479126,.0791598558425903,.0833456516265869,.0882979035377502,.0989096164703369,66.75,22.34999084472656,581.64990234375,179.0634765625,.995999813079834,0,41,0,Nov-85,.,0
atlanta,2,ga,10,1984,1276,287,0,0,135,632,4029,5729,10813,24110,3184,11.34452819824219,.0573723316192627,.0602499842643738,442951,0,0,1,.0755335688591003,.0765370726585388,.0772444605827332,.0813078284263611,.086925745010376,.0993172526359558,66.79998779296875,22.5,589.0048828125,170.5924072265625,1.038999557495117,0,41,0,Nov-85,.,0
atlanta,2,ga,10,1985,1278,289,1,0,145,683,4792,5990,12192,29372,4331,11.72490692138672,.0329797267913818,.0654199719429016,436214,0,0,1,.0761957764625549,.0757760405540466,.0754362344741821,.079383909702301,.0856302976608276,.0997021198272705,66.8499755859375,22.64999389648438,631.708984375,160.6488037109375,1.07599925994873,0,41,1,Nov-85,.,0
atlanta,2,ga,10,1986,1326,305,0,1,186,681,5428,6867,13454,30380,6072,12.31894683837891,.0494234561920166,.0592499971389771,445617,0,0,1,.0768219232559204,.0750563740730286,.0737263560295105,.0775647163391113,.0844053626060486,.100066065788269,66.89996337890625,22.79998779296875,695.14697265625,174.646484375,1.095999717712402,0,41,0,Oct-89,.,0
atlanta,2,ga,10,1987,1346,304,0,0,207,636,5100,6950,14927,31559,7512,12.59436798095703,.0221109390258789,.054749995470047,429953,0,0,1,.0774149298667908,.074374794960022,.0721070170402527,.0758418440818787,.0832452774047852,.1004107594490051,66.949951171875,22.94999694824219,738.65625,184.1693115234375,1.13599967956543,1,41,0,Oct-89,.,0
atlanta,2,ga,10,1988,1395,309,0,0,217,721,5972,9001,15556,37306,9314,12.91123962402344,.024848461151123,.0579999983310699,444995,0,0,1,.0779772996902466,.0737284421920776,.0705713033676147,.0742079019546509,.082145094871521,.1007376313209534,67,23.09999084472656,770.23193359375,220.8282470703125,1.182999610900879,1,41,0,Oct-89,.,0
atlanta,2,ga,10,1989,1518,331,1,0,246,691,6796,9119,17202,42660,11527,12.94918823242188,.0029351711273193,.0553299784660339,426482,0,0,1,.0785114169120789,.0731145739555359,.0691127777099609,.0726561546325684,.0811002254486084,.1010480523109436,67.04998779296875,23.25,784.67724609375,236.290283203125,1.239999771118164,1,41,1,Oct-89,.,0
